street,facing_bet,pot_size,to_call,pot_odds,bet_to_pot,hero_position,villain_position,is_ip,hand_category,hand_rank,is_made_hand,is_strong_made,is_monster,has_flush_draw,has_straight_draw,draw_outs,is_monotone,is_two_tone,is_rainbow,is_paired,is_double_paired,connectivity_score,high_card_rank,danger_score,flush_danger,straight_danger,raw_equity,equity_vs_range,better_hand_pct,worse_hand_pct,equity_margin,spr,is_3bet_pot,villain_aggression_count,villain_checked_back,villain_call_count,num_opponents,villain_top_pair_plus_pct,villain_draw_pct,villain_air_pct,villain_range_capped,board_favour,num_callers_to_bet,facing_raise,flush_block_pct,overcard_outs,improvement_probability,hero_range_percentile,has_showdown_value,villain_fold_equity_estimate,flush_draw_rank,is_preflop_aggressor,villain_medium_made_pct,level_street,level_facing_bet,level_pot_size,level_to_call,level_pot_odds,level_bet_to_pot,level_hero_position,level_villain_position,level_is_ip,level_hand_category,level_hand_rank,level_is_made_hand,level_is_strong_made,level_is_monster,level_has_flush_draw,level_has_straight_draw,level_draw_outs,level_is_monotone,level_is_two_tone,level_is_rainbow,level_is_paired,level_is_double_paired,level_connectivity_score,level_high_card_rank,level_danger_score,level_flush_danger,level_straight_danger,level_raw_equity,level_equity_vs_range,level_better_hand_pct,level_worse_hand_pct,level_equity_margin,level_spr,level_is_3bet_pot,level_villain_aggression_count,level_villain_checked_back,level_villain_call_count,level_num_opponents,level_villain_top_pair_plus_pct,level_villain_draw_pct,level_villain_air_pct,level_villain_range_capped,level_board_favour,level_num_callers_to_bet,level_facing_raise,level_flush_block_pct,level_overcard_outs,level_improvement_probability,level_hero_range_percentile,level_has_showdown_value,level_villain_fold_equity_estimate,level_flush_draw_rank,level_is_preflop_aggressor,level_villain_medium_made_pct,label
0.0,0.0,80.0,0.0,0.0,0.0,5.0,1.0,0.0,10.0,2.72,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,0.45,0.25,0.3,0.80825,0.80825,0.01087,0.980435,0.80825,1.25,0.0,1.0,0.0,0.0,2.0,0.1688,0.2743,0.1055,0.0,0.1312,0.0,0.0,0.0,0.0,1.0,0.923229,1.0,0.481705,0.0,0.0,0.4515,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.5,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,1.0,0.1,0.1,0.1,0.5,0.1,0.7,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.1,0.5,0.7,0.7,0.1,0.1,0.5,0.7,CHECK
0.0,0.0,80.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.20175,0.20175,0.449679,0.531049,0.20175,1.25,0.0,1.0,0.0,0.0,2.0,0.1971,0.0,0.5405,0.0,0.1029,0.0,0.0,0.0,6.0,0.0,0.623565,0.0,0.644648,0.0,0.0,0.2623,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,1.0,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.5,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.5,0.5,0.7,0.7,0.5,0.1,0.5,0.7,CHECK
1.0,0.0,80.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,10.0,0.58,0.0,0.5,0.0535,0.0535,0.736018,0.217002,0.0535,1.25,0.0,1.0,1.0,0.0,2.0,0.2862,0.0715,0.318,0.0,0.0138,0.0,0.0,0.0,3.0,0.0,0.397053,0.0,0.459752,0.0,0.0,0.3243,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,1.0,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.5,0.7,0.5,0.7,0.7,0.5,0.1,0.1,0.7,CHECK
0.0,0.0,80.0,0.0,0.0,0.0,5.0,2.0,0.0,12.0,3.57,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,0.5,0.0,0.5,0.82925,0.82925,0.007505,0.992495,0.82925,1.25,0.0,1.0,0.0,0.0,2.0,0.2067,0.0477,0.5723,0.0,0.0933,0.0,0.0,0.0,0.0,1.0,0.994428,1.0,0.592053,0.0,0.0,0.1733,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,1.0,0.1,0.1,0.1,0.5,0.1,0.7,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.7,0.5,0.1,0.5,0.7,CHECK
0.0,0.0,80.0,0.0,0.0,0.0,2.0,3.0,0.0,11.0,3.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,0.15,0.0,0.0,0.8445,0.8445,0.018041,0.979381,0.8445,1.25,0.0,0.0,0.0,1.0,2.0,0.5126,0.0314,0.456,1.0,-0.2126,0.0,0.0,0.0,3.0,1.0,0.979734,1.0,0.222501,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.1,0.1,0.1,1.0,0.1,0.7,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.5,0.1,0.7,0.7,0.5,0.1,0.5,0.7,BET
1.0,0.0,80.0,0.0,0.0,0.0,2.0,3.0,0.0,15.0,6.5225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,10.0,0.53,0.0,0.3,0.967,0.967,0.002899,0.997101,0.967,1.25,0.0,0.0,1.0,1.0,2.0,0.6226,0.0314,0.3459,1.0,-0.3226,0.0,0.0,0.0,0.0,1.0,0.992185,1.0,0.130827,10.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.5,0.1,1.0,0.7,0.7,0.1,0.5,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.1,0.5,0.7,BET
2.0,0.0,80.0,0.0,0.0,0.0,1.0,3.0,0.0,14.0,5.08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,13.0,0.9064,0.4864,0.3,0.8255,0.8255,0.077206,0.922794,0.8255,1.25,0.0,0.0,1.0,1.0,2.0,0.7526,0.0,0.0105,1.0,-0.4526,0.0,0.0,0.0,0.0,0.0,0.637129,1.0,0.061207,8.0,0.0,0.2369,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.5,0.1,0.1,1.0,0.7,0.7,0.1,0.1,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.7,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.5,0.1,0.7,BET
2.0,1.0,133.0,53.0,0.284946,0.398496,3.0,2.0,1.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,13.0,0.57,0.0,0.3,0.084,0.084,0.583529,0.282353,-0.200946,0.7519,0.0,1.0,1.0,0.0,2.0,0.848,0.0,0.152,0.0,-0.548,0.0,1.0,0.0,3.0,0.0,0.356985,0.0,0.023104,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.7,0.7,0.5,0.1,0.1,0.7,FOLD
2.0,1.0,133.0,53.0,0.284946,0.398496,3.0,2.0,1.0,4.0,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,14.0,0.77,0.4864,0.5,0.026,0.026,0.791383,0.206349,-0.258946,0.7519,0.0,1.0,1.0,0.0,2.0,0.743,0.0,0.1587,0.0,-0.443,0.0,1.0,0.0,0.0,0.0,0.033875,1.0,0.066049,3.0,0.0,0.0983,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,1.0,0.7,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.7,0.7,0.1,0.5,0.1,0.7,FOLD
1.0,1.0,133.0,53.0,0.284946,0.398496,1.0,3.0,0.0,2.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,11.0,0.58,0.0,0.5,0.11,0.11,0.672489,0.28821,-0.174946,0.7519,0.0,0.0,1.0,1.0,2.0,0.6335,0.0882,0.1323,1.0,-0.3335,0.0,1.0,0.0,6.0,0.0,0.431948,0.0,0.103942,0.0,0.0,0.146,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.1,1.0,1.0,1.0,0.7,0.1,0.1,0.5,0.1,0.5,0.5,0.7,0.7,0.5,0.1,0.5,0.7,FOLD
