street,facing_bet,pot_size,to_call,pot_odds,bet_to_pot,hero_position,villain_position,is_ip,hand_category,hand_rank,is_made_hand,is_strong_made,is_monster,has_flush_draw,has_straight_draw,draw_outs,is_monotone,is_two_tone,is_rainbow,is_paired,is_double_paired,connectivity_score,high_card_rank,danger_score,flush_danger,straight_danger,raw_equity,equity_vs_range,better_hand_pct,worse_hand_pct,equity_margin,spr,is_3bet_pot,villain_aggression_count,villain_checked_back,villain_call_count,num_opponents,villain_top_pair_plus_pct,villain_draw_pct,villain_air_pct,villain_range_capped,board_favour,num_callers_to_bet,facing_raise,action
2,1,133.0,53.0,0.284946,0.398496,2,5,1,10,2.62,1,1,0,0,0,0,0,1,0,1,1,2,8,0.7564,0.4864,0.0,0.463,0.463,0.224679,0.769084,0.178054,0.7519,0,0,1,1,2,0.6789,0.0,0.3172,1,-0.3789,0,1,CALL
1,1,133.0,53.0,0.284946,0.398496,1,5,1,2,0.44,0,0,0,0,0,0,0,0,1,0,0,7,11,0.58,0.0,0.5,0.11,0.11,0.605016,0.321832,-0.174946,0.7519,0,0,1,1,2,0.5392,0.1078,0.1471,1,-0.2392,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,1,1,10,2.3075,1,1,0,0,0,0,0,1,0,1,0,4,13,0.9064,0.4864,0.3,0.21325,0.21325,0.42437,0.573529,-0.071696,0.7519,0,1,1,0,2,0.9247,0.0,0.0503,0,-0.6247,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,2,1,1,0.34,0,0,0,0,0,0,0,0,1,1,0,4,13,0.57,0.0,0.3,0.08075,0.08075,0.583529,0.282353,-0.204196,0.7519,0,1,1,0,2,0.8488,0.0,0.1512,0,-0.5488,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,2,5,1,10,2.6675,1,1,0,0,0,0,0,1,0,0,0,4,13,0.7564,0.4864,0.3,0.6915,0.6915,0.144717,0.854946,0.406554,0.7519,0,0,1,1,2,0.5017,0.0,0.4128,1,-0.2017,0,1,CALL
2,1,133.0,53.0,0.284946,0.398496,2,5,1,1,0.33,0,0,0,0,0,0,0,0,1,1,0,5,12,0.57,0.0,0.3,0.0115,0.0115,0.895318,0.091657,-0.273446,0.7519,0,0,1,1,2,0.7283,0.0,0.2717,1,-0.4283,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,2,5,1,1,0.33,0,0,0,0,1,8,0,1,0,1,0,8,12,1.0,0.4864,0.8,0.0005,0.0005,0.931372,0.068323,-0.284446,0.7519,0,0,1,1,2,0.8367,0.0,0.1633,1,-0.5367,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,1,5,1,10,2.605,1,1,0,0,0,0,0,1,0,1,0,2,12,0.7564,0.4864,0.0,0.3895,0.3895,0.392268,0.592437,0.104554,0.7519,0,0,1,1,2,0.8944,0.0,0.083,1,-0.5944,0,1,CALL
1,1,133.0,53.0,0.284946,0.398496,3,1,1,1,0.32,0,0,0,1,1,13,0,0,1,1,0,2,11,0.38,0.0,0.0,0.222,0.222,0.754881,0.180043,-0.062946,0.7519,0,1,1,0,2,0.7261,0.0234,0.2505,0,-0.4261,0,1,CALL
1,1,133.0,53.0,0.284946,0.398496,1,5,1,2,0.44,0,0,0,1,0,9,0,0,1,1,0,4,9,0.53,0.0,0.3,0.341,0.341,0.442194,0.486926,0.056054,0.7519,0,0,1,1,2,0.7197,0.0625,0.2178,1,-0.4197,0,1,CALL
1,1,186.0,53.0,0.221757,0.284946,3,1,1,2,0.43,0,0,0,0,0,0,0,0,1,1,0,4,9,0.53,0.0,0.3,0.09075,0.09075,0.652079,0.328228,-0.131007,0.5376,0,1,1,0,2,0.6697,0.0494,0.2809,0,-0.3697,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,1,1,5,1.19,1,0,0,0,0,0,0,1,0,0,0,7,14,0.77,0.4864,0.5,0.05625,0.05625,0.596659,0.389021,-0.228696,0.7519,0,1,1,0,2,0.8644,0.0,0.0402,0,-0.5644,0,1,FOLD
0,1,133.0,53.0,0.284946,0.398496,3,2,1,1,0.34,0,0,0,0,0,0,0,0,1,1,0,2,9,0.15,0.0,0.0,0.1815,0.1815,0.546638,0.433839,-0.103446,0.7519,0,1,0,0,2,0.6575,0.0201,0.3223,0,-0.3575,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,2,1,8,1.324,1,0,0,0,0,0,0,0,1,0,0,9,11,0.92,0.0,0.8,0.5775,0.5775,0.214286,0.771429,0.292554,0.7519,0,1,1,0,2,0.7191,0.0,0.2232,0,-0.4191,0,1,CALL
0,1,133.0,53.0,0.284946,0.398496,3,2,1,4,0.97,1,0,0,0,0,0,0,1,0,0,0,2,9,0.25,0.25,0.0,0.3095,0.3095,0.25102,0.746939,0.024554,0.7519,0,1,0,0,2,0.2758,0.5145,0.0839,0,0.0242,0,1,CALL
2,1,133.0,53.0,0.284946,0.398496,3,2,1,4,0.94,1,0,0,0,1,8,0,1,0,0,0,10,10,1.0,0.4864,0.8,0.08525,0.08525,0.740343,0.257511,-0.199696,0.7519,0,1,1,0,2,0.8901,0.0,0.0872,0,-0.5901,0,1,FOLD
1,1,133.0,53.0,0.284946,0.398496,2,5,1,10,2.68,1,1,0,0,0,0,0,0,1,1,0,8,13,1.0,0.0,0.8,0.344,0.344,0.29582,0.681766,0.059054,0.7519,0,0,1,1,2,0.7933,0.1454,0.0613,1,-0.4933,0,1,CALL
0,1,133.0,53.0,0.284946,0.398496,2,5,1,2,0.44,0,0,0,0,0,0,0,0,1,0,0,7,7,0.5,0.0,0.5,0.25525,0.25525,0.568158,0.376103,-0.029696,0.7519,0,0,0,1,2,0.4394,0.0796,0.3309,1,-0.1394,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,2,5,1,10,2.6725,1,1,0,0,0,0,0,0,1,1,1,2,13,0.27,0.0,0.0,0.49275,0.49275,0.201824,0.784974,0.207804,0.7519,0,0,1,1,2,0.7506,0.0,0.2481,1,-0.4506,0,1,CALL
2,1,133.0,53.0,0.284946,0.398496,3,2,1,4,0.93,1,0,0,0,0,0,0,1,0,0,0,7,14,0.77,0.4864,0.5,0.0215,0.0215,0.791383,0.206349,-0.263446,0.7519,0,1,1,0,2,0.742,0.0,0.1573,0,-0.442,0,1,FOLD
1,1,133.0,53.0,0.284946,0.398496,3,2,1,10,2.4625,1,1,0,0,0,0,0,0,1,1,0,4,10,0.53,0.0,0.3,0.2585,0.2585,0.347162,0.622271,-0.026446,0.7519,0,1,1,0,2,0.7469,0.0509,0.2022,0,-0.4469,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,1,1,1,0.34,0,0,0,0,1,4,0,0,1,1,0,7,13,0.77,0.0,0.5,0.06625,0.06625,0.639423,0.165865,-0.218696,0.7519,0,1,1,0,2,0.9134,0.0,0.0866,0,-0.6134,0,1,FOLD
2,1,133.0,53.0,0.284946,0.398496,3,2,1,6,1.351,1,0,0,0,0,0,0,1,0,0,0,4,14,0.7564,0.4864,0.3,0.43325,0.43325,0.225806,0.759305,0.148304,0.7519,0,1,1,0,2,0.6253,0.0,0.2724,0,-0.3253,0,1,CALL
0,1,133.0,53.0,0.284946,0.398496,3,1,1,4,0.97,1,0,0,0,0,0,0,0,1,0,0,2,10,0.0,0.0,0.0,0.33775,0.33775,0.224242,0.773737,0.052804,0.7519,0,1,0,0,2,0.4735,0.0,0.3593,0,-0.1735,0,1,CALL
2,1,133.0,53.0,0.284946,0.398496,2,5,1,10,2.7325,1,1,0,0,0,0,0,0,1,1,0,4,13,0.57,0.0,0.3,0.539,0.539,0.196736,0.795861,0.254054,0.7519,0,0,1,1,2,0.7929,0.0,0.2071,1,-0.4929,0,1,CALL
1,1,133.0,53.0,0.284946,0.398496,0,5,1,2,0.43,0,0,0,0,1,4,0,0,1,1,0,7,8,0.73,0.0,0.5,0.10775,0.10775,0.860574,0.138916,-0.177196,0.7519,0,0,1,1,2,0.7049,0.0301,0.265,1,-0.4049,0,1,FOLD
1,0,80.0,0.0,0.0,0.0,5,1,0,12,3.58,1,1,1,0,0,0,0,0,1,0,0,7,11,0.58,0.0,0.5,0.7515,0.7515,0.063291,0.936709,0.7515,1.25,0,1,1,0,2,0.383,0.0851,0.2766,0,-0.083,0,0,BET
1,0,80.0,0.0,0.0,0.0,5,0,0,15,6.265,1,1,1,0,0,0,0,0,1,1,0,7,8,0.73,0.0,0.5,0.93475,0.93475,0.01165,0.98835,0.93475,1.25,0,1,1,0,2,0.3421,0.0263,0.6316,0,-0.0421,0,0,BET
2,0,80.0,0.0,0.0,0.0,3,1,1,13,4.12,1,1,1,0,0,0,0,0,1,0,0,5,12,0.42,0.0,0.3,0.9885,0.9885,0.0,0.980044,0.9885,1.25,0,1,1,0,2,0.2979,0.0,0.3404,0,0.0021,0,0,BET
1,0,80.0,0.0,0.0,0.0,3,2,1,12,3.52,1,1,1,0,0,0,0,0,1,0,0,2,13,0.08,0.0,0.0,0.8425,0.8425,0.017787,0.982213,0.8425,1.25,0,1,1,0,2,0.1774,0.0806,0.3226,0,0.1226,0,0,BET
2,0,80.0,0.0,0.0,0.0,3,2,1,11,3.14,1,1,1,0,0,0,0,0,1,1,0,7,14,0.77,0.0,0.5,0.773,0.773,0.068783,0.92328,0.773,1.25,0,1,1,0,2,0.6129,0.0,0.3871,0,-0.3129,0,0,BET
2,0,80.0,0.0,0.0,0.0,2,3,0,13,4.14,1,1,1,0,0,0,0,1,0,0,0,7,14,0.77,0.4864,0.5,0.90425,0.90425,0.044444,0.926984,0.90425,1.25,0,0,1,1,2,0.3784,0.0,0.1081,1,-0.0784,0,0,BET
2,0,80.0,0.0,0.0,0.0,2,3,0,13,4.13,1,1,1,0,0,0,0,0,1,0,0,9,11,0.92,0.0,0.8,0.9525,0.9525,0.0,0.973529,0.9525,1.25,0,0,1,1,2,0.4595,0.0,0.2162,1,-0.1595,0,0,BET
0,0,80.0,0.0,0.0,0.0,3,2,1,12,3.57,1,1,1,0,0,0,0,0,1,0,0,2,7,0.0,0.0,0.0,0.873,0.873,0.0,1.0,0.873,1.25,0,1,0,0,2,0.1935,0.0161,0.629,0,0.1065,0,0,BET
2,0,80.0,0.0,0.0,0.0,2,3,0,11,3.13,1,1,1,0,0,0,0,0,1,1,0,4,13,0.57,0.0,0.3,0.78875,0.78875,0.083333,0.908046,0.78875,1.25,0,0,1,1,2,0.7027,0.0,0.2973,1,-0.4027,0,0,BET
1,0,80.0,0.0,0.0,0.0,2,3,0,15,6.5225,1,1,1,0,0,0,0,0,1,1,0,4,10,0.53,0.0,0.3,0.9755,0.9755,0.002899,0.997101,0.9755,1.25,0,0,1,1,2,0.5946,0.027,0.3784,1,-0.2946,0,0,BET
2,0,80.0,0.0,0.0,0.0,1,3,0,15,6.5325,1,1,1,0,0,0,0,0,1,1,0,7,13,0.77,0.0,0.5,0.93925,0.93925,0.018433,0.97235,0.93925,1.25,0,0,1,1,2,0.8387,0.0,0.1613,1,-0.5387,0,0,BET
1,0,80.0,0.0,0.0,0.0,5,2,0,13,4.13,1,1,1,0,0,0,0,0,1,1,0,8,13,1.0,0.0,0.8,0.65925,0.65925,0.070776,0.908676,0.65925,1.25,0,1,1,0,2,0.7419,0.1452,0.1129,0,-0.4419,0,0,BET
0,0,80.0,0.0,0.0,0.0,1,3,0,12,3.6,1,1,1,0,0,0,0,0,1,0,0,2,10,0.0,0.0,0.0,0.908,0.908,0.0,1.0,0.908,1.25,0,0,0,1,2,0.2581,0.0,0.4516,1,0.0419,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,2,0,15,6.415,1,1,1,0,0,0,0,1,0,1,1,2,8,0.7564,0.4864,0.0,0.9515,0.9515,0.004141,0.954451,0.9515,1.25,0,1,1,0,2,0.3871,0.0,0.5806,0,-0.0871,0,0,BET
2,0,80.0,0.0,0.0,0.0,1,3,0,14,5.08,1,1,0,0,0,0,0,1,0,1,0,4,13,0.9064,0.4864,0.3,0.8035,0.8035,0.077206,0.922794,0.8035,1.25,0,0,1,1,2,0.7419,0.0,0.0323,1,-0.4419,0,0,BET
0,0,80.0,0.0,0.0,0.0,2,3,0,11,3.06,1,1,1,0,0,0,0,0,1,1,0,2,9,0.15,0.0,0.0,0.8625,0.8625,0.018041,0.979381,0.8625,1.25,0,0,0,1,2,0.4595,0.027,0.5135,1,-0.1595,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,2,0,10,2.615,1,1,0,0,0,0,0,0,1,1,0,5,12,0.57,0.0,0.3,0.797,0.797,0.093478,0.893478,0.797,1.25,0,1,1,0,2,0.4839,0.0,0.5161,0,-0.1839,0,0,BET
0,0,80.0,0.0,0.0,0.0,2,3,0,12,3.55,1,1,1,0,0,0,0,1,0,0,0,2,9,0.25,0.25,0.0,0.8125,0.8125,0.007282,0.992718,0.8125,1.25,0,0,0,1,2,0.2162,0.4054,0.1081,1,0.0838,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,2,0,15,6.58,1,1,1,0,0,0,0,1,0,1,0,8,12,1.0,0.4864,0.8,0.98825,0.98825,0.002242,0.993274,0.98825,1.25,0,1,1,0,2,0.7097,0.0,0.2903,0,-0.4097,0,0,BET
2,0,80.0,0.0,0.0,0.0,3,2,1,15,6.635,1,1,1,0,0,0,0,0,1,1,0,7,14,0.77,0.0,0.5,0.96825,0.96825,0.002604,0.992188,0.96825,1.25,0,1,1,0,2,0.8065,0.0,0.1935,0,-0.5065,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,2,0,14,5.11,1,1,0,0,0,0,0,1,0,0,0,4,13,0.7564,0.4864,0.3,0.948,0.948,0.025974,0.974026,0.948,1.25,0,1,1,0,2,0.2097,0.0,0.3387,0,0.0903,0,0,BET
0,0,80.0,0.0,0.0,0.0,3,2,1,12,3.61,1,1,1,0,0,0,0,0,1,0,0,2,13,0.0,0.0,0.0,0.866,0.866,0.006173,0.993827,0.866,1.25,0,1,0,0,2,0.1774,0.0645,0.3548,0,0.1226,0,0,BET
1,0,80.0,0.0,0.0,0.0,5,1,0,8,1.324,1,0,0,0,1,4,0,0,0,0,0,7,11,0.58,0.0,0.5,0.687,0.687,0.09434,0.893082,0.687,1.25,0,1,1,0,2,0.2553,0.4043,0.1277,0,0.0447,0,0,BET
0,0,80.0,0.0,0.0,0.0,5,2,0,12,3.57,1,1,1,0,0,0,0,0,1,0,0,7,7,0.5,0.0,0.5,0.85125,0.85125,0.007505,0.992495,0.85125,1.25,0,1,0,0,2,0.2097,0.0484,0.5806,0,0.0903,0,0,BET
2,0,80.0,0.0,0.0,0.0,1,3,0,14,5.08,1,1,0,0,0,0,0,1,0,0,0,7,14,0.77,0.4864,0.5,0.936,0.936,0.025,0.975,0.936,1.25,0,0,1,1,2,0.4839,0.0,0.0,1,-0.1839,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,1,0,14,5.14,1,1,1,0,0,0,0,1,0,1,0,2,12,0.7564,0.4864,0.0,0.9575,0.9575,0.021186,0.978814,0.9575,1.25,0,1,1,0,2,0.6809,0.0,0.1064,0,-0.3809,0,0,BET
2,0,80.0,0.0,0.0,0.0,2,3,0,14,5.14,1,1,1,0,0,0,0,1,0,0,0,10,10,1.0,0.4864,0.8,0.9875,0.9875,0.003012,0.996988,0.9875,1.25,0,0,1,1,2,0.6486,0.0,0.2703,1,-0.3486,0,0,BET
1,0,80.0,0.0,0.0,0.0,3,1,1,12,3.54,1,1,1,0,0,0,0,0,0,0,0,4,13,0.38,0.0,0.3,0.804,0.804,0.018557,0.981443,0.804,1.25,0,1,1,0,2,0.1915,0.0638,0.2553,0,0.1085,0,0,BET
0,0,80.0,0.0,0.0,0.0,3,0,1,2,0.43,0,0,0,1,1,13,0,1,0,1,0,2,11,0.4,0.25,0.0,0.4655,0.4655,0.662393,0.318376,0.4655,1.25,0,1,0,0,2,0.5526,0.0263,0.4211,0,-0.2526,0,0,CHECK
2,0,80.0,0.0,0.0,0.0,2,3,0,14,5.12,1,1,1,0,0,0,0,1,0,0,0,4,14,0.7564,0.4864,0.3,0.9815,0.9815,0.015015,0.984985,0.9815,1.25,0,0,1,1,2,0.2973,0.0,0.1351,1,0.0027,0,0,BET
1,0,80.0,0.0,0.0,0.0,5,1,0,11,3.09,1,1,1,0,0,0,0,0,1,1,0,4,9,0.53,0.0,0.3,0.87575,0.87575,0.019956,0.973392,0.87575,1.25,0,1,1,0,2,0.4255,0.0426,0.5319,0,-0.1255,0,0,BET
2,0,80.0,0.0,0.0,0.0,5,2,0,11,3.13,1,1,1,0,0,0,0,0,1,1,0,4,13,0.57,0.0,0.3,0.85875,0.85875,0.063232,0.929742,0.85875,1.25,0,1,1,0,2,0.6613,0.0,0.3387,0,-0.3613,0,0,BET
