situation_id,street,facing_bet,pot_size,to_call,pot_odds,bet_to_pot,hero_position,villain_position,is_ip,hand_category,hand_rank,is_made_hand,is_strong_made,is_monster,has_flush_draw,has_straight_draw,draw_outs,is_monotone,is_two_tone,is_rainbow,is_paired,is_double_paired,connectivity_score,high_card_rank,danger_score,flush_danger,straight_danger,raw_equity,equity_vs_range,better_hand_pct,worse_hand_pct,equity_margin,spr,is_3bet_pot,villain_aggression_count,villain_checked_back,villain_call_count,num_opponents,villain_top_pair_plus_pct,villain_draw_pct,villain_air_pct,villain_range_capped,board_favour,num_callers_to_bet,facing_raise,flush_block_pct,overcard_outs,improvement_probability,hero_range_percentile,has_showdown_value,villain_fold_equity_estimate,flush_draw_rank,is_preflop_aggressor,villain_medium_made_pct,attn_street,attn_facing_bet,attn_pot_size,attn_to_call,attn_pot_odds,attn_bet_to_pot,attn_hero_position,attn_villain_position,attn_is_ip,attn_hand_category,attn_hand_rank,attn_is_made_hand,attn_is_strong_made,attn_is_monster,attn_has_flush_draw,attn_has_straight_draw,attn_draw_outs,attn_is_monotone,attn_is_two_tone,attn_is_rainbow,attn_is_paired,attn_is_double_paired,attn_connectivity_score,attn_high_card_rank,attn_danger_score,attn_flush_danger,attn_straight_danger,attn_raw_equity,attn_equity_vs_range,attn_better_hand_pct,attn_worse_hand_pct,attn_equity_margin,attn_spr,attn_is_3bet_pot,attn_villain_aggression_count,attn_villain_checked_back,attn_villain_call_count,attn_num_opponents,attn_villain_top_pair_plus_pct,attn_villain_draw_pct,attn_villain_air_pct,attn_villain_range_capped,attn_board_favour,attn_num_callers_to_bet,attn_facing_raise,attn_flush_block_pct,attn_overcard_outs,attn_improvement_probability,attn_hero_range_percentile,attn_has_showdown_value,attn_villain_fold_equity_estimate,attn_flush_draw_rank,attn_is_preflop_aggressor,attn_villain_medium_made_pct,label,label_source
BP1_01,0,1.0,90.0,30.0,0.25,0.333333,3,0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.45475,0.45475,0.679513,0.319826,0.20475,1.1111,0.0,0.0,0.0,1.0,2.0,0.3149,0.0174,0.3386,1.0,-0.0149,0.0,0.0,0.238095,3.0,0.191489,0.60315,0.0,0.457517,14.0,1.0,0.3291,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAISE,Pass1+relabel consensus
BP1_02,0,1.0,90.0,30.0,0.25,0.333333,3,0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.45325,0.45325,0.693086,0.280366,0.20325,1.1111,0.0,0.0,0.0,1.0,2.0,0.3149,0.0174,0.3386,1.0,-0.0149,0.0,0.0,0.157542,3.0,0.191489,0.572416,0.0,0.457517,14.0,1.0,0.3291,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAISE,Pass1+relabel consensus
BP1_03,0,1.0,90.0,30.0,0.25,0.333333,5,0,0.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,0.25,0.25,0.0,0.378,0.378,0.912147,0.021355,0.128,1.1111,0.0,0.0,0.0,1.0,2.0,0.3436,0.3913,0.0168,1.0,-0.0436,0.0,0.0,0.058275,3.0,0.191489,0.548204,0.0,0.212291,14.0,0.0,0.2483,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAISE,Pass1+relabel consensus
BP1_04,0,1.0,90.0,30.0,0.25,0.333333,5,0,0.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,0.25,0.25,0.0,0.40075,0.40075,0.978405,0.019141,0.15075,1.1111,0.0,0.0,0.0,1.0,2.0,0.3436,0.3913,0.0168,1.0,-0.0436,0.0,0.0,0.057537,3.0,0.191489,0.540643,0.0,0.212291,14.0,0.0,0.2483,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,CALL,Pass1+relabel consensus
BP1_05,0,1.0,90.0,30.0,0.25,0.333333,2,0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,0.25,0.25,0.0,0.41175,0.41175,0.743955,0.255401,0.16175,1.1111,0.0,0.0,0.0,1.0,2.0,0.314,0.0,0.372,1.0,-0.014,0.0,0.0,0.124654,3.0,0.191489,0.507075,0.0,0.470596,14.0,1.0,0.314,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,RAISE,Pass1+relabel consensus
BP1_06,0,1.0,90.0,30.0,0.25,0.333333,2,0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,0.25,0.25,0.0,0.4285,0.4285,0.753272,0.236045,0.1785,1.1111,0.0,0.0,0.0,1.0,2.0,0.314,0.0,0.372,1.0,-0.014,0.0,0.0,0.140751,3.0,0.191489,0.483491,0.0,0.470596,14.0,1.0,0.314,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,RAISE,Pass1+relabel consensus
BP1_07,0,1.0,90.0,30.0,0.25,0.333333,5,0,0.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,0.25,0.25,0.0,0.38825,0.38825,0.820765,0.179235,0.13825,1.1111,0.0,0.0,0.0,1.0,2.0,0.4013,0.0,0.2173,1.0,-0.1013,0.0,0.0,0.065161,3.0,0.191489,0.543726,0.0,0.358442,14.0,0.0,0.3814,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,RAISE,Pass1+relabel consensus
BP1_08,0,1.0,90.0,30.0,0.25,0.333333,5,0,0.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,0.25,0.25,0.0,0.39875,0.39875,0.872004,0.076337,0.14875,1.1111,0.0,0.0,0.0,1.0,2.0,0.4013,0.0,0.2173,1.0,-0.1013,0.0,0.0,0.063105,3.0,0.191489,0.528517,0.0,0.358442,14.0,0.0,0.3814,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAISE,SOLVER revert — Pass 1 majority RAISE was correct (Pass 2 CALL override wrong)
BP1_09,0,1.0,90.0,30.0,0.25,0.333333,3,0,1.0,0.0,0.18,0.0,0.0,0.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.46525,0.46525,0.97511,0.024333,0.21525,1.1111,0.0,0.0,0.0,1.0,2.0,0.3149,0.0174,0.3386,1.0,-0.0149,0.0,0.0,0.042373,0.0,0.255319,0.395697,0.0,0.457517,8.0,1.0,0.3291,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,CALL,Pass1+relabel consensus
BP1_10,0,1.0,90.0,30.0,0.25,0.333333,3,0,1.0,0.0,0.18,0.0,0.0,0.0,1.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.25,0.25,0.0,0.53875,0.53875,0.942275,0.056795,0.28875,1.1111,0.0,0.0,0.0,1.0,2.0,0.2542,0.4442,0.0855,1.0,0.0458,0.0,0.0,0.025619,0.0,0.319149,0.400916,0.0,0.274262,8.0,1.0,0.2162,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,CALL,Pass1+relabel consensus
